RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES532996|||0||||||||||16152|3155|0|0|0|||8106|7367|||||||||||4582||650
529220|||0||||||||||0|12775|0|0|0|||25402|0|||0||||||||17422||12604
529222|34196|0|0|0|202003|1997|0|0|0||2101|0|223233|59208|||||0||6067|2377|-380||||34196|0|0|0|136728|||
533036|||0||||||||||0|10422|0|2670|0|||2912|74|||||||||||1455||2060
532993|||100||||||||||9422|5068|0|0|0|||0|0|||||||||||301||0
530297|||0||||||||||0|0|0|0|0|||0|0|||0||||||||13||0
530298|||0||||||||||8055|102388|0|0|0|||0|12460|||0||||||||63436||1700
532997|||500||||||||||19242|4355|0|0|0|||5814|2809|||||||||||5446||0
533066|||0||||||||||27818|6157|0|0|0|||0|0|||||||||||1971||35
503021|||0||||||||||0|4400|0|0|0|||2630|1508|||0||||||||6562||275
506977|0|0|0|0|377698|0|0|0|0||1302|0|0|||311|||12420|||0|||||||||1943|||
507588|||0||||||||||3376|0|0|16099|0|||150959|10109|||||||||||8911||248
509937|0|0|0|0|0|0|0|0|0||0|0|0||||||5699451|||0||||||||||||
509938|0|0|0|0|0|0|0|0|0||0|0|0||||||691169|||0||||||||||||
509939|0|0|0|3733|0|0|0|0|0||0|0|0||||||738366|||0||||||||3733||||
509940|0|0|0|0|0|0|114851|0|0||0|0|0||||||0|||0||||||||||||
510539|3867|0|11995|328794|10537|7514|0|213|0||8029|0|28378|9966|3918|9768|||0||20386|8871|-1357|1675|5839||473|0|5174|33417|973|||
510541|1499|0|10089|721099|17976|3883|0|383|0||2121|0|39824|4954||11613|||12394||14868|4062|-179|551|3333||1499|0|10089|35740|12405|||
510547|0|0|1117|747761|16283|4612|0|0|0||1343|0|17384|9001||16940|||3994||16369|5632|-1020|451|4161||0|0|90|14890|5804|||
510549|8007|0|17761|544940|63172|5889|0|840|3003||11194|0|67636|6070|13279|22579|||0||33282|7871|-1982|538|5350||2213|0|11736|44576|15116|||
510550|137206|2111|21927|1691681|20160|5570|0|0|0||981|0|42330|3943|335809|13320|||15755||19895|5570||467|5103||23401|1800|21927|23610|9898|||
511571|58628|8130|360|720|71844|0|18283|0|0||0|0|67098|77785||109093|||0|||0||||||711|||61185|||
513458|||0||||||||||0|2975|0|0|0|||0|0|||0||||||||0||750
514964|||84||||||||||0|0|0|0|0|||5994|0|||||||||||497||0
512659|||5310||||||||||13226|3510|50450|8316|0|||95015|15553|||||||||||16172||5380
512660|||2855||||||||||6665|1909|0|0|0|||188277|0|||||||||||6883||850
512661|||1822||||||||||11807|3295|0|0|0|||205698|11967|||||||||||8704||4140
512662|||1663||||||||||6375|1701|0|0|0|||102083|1386|||||||||||3327||2600
512667|||0||||||||||0|12819|0|5482|0|||0|4733|||||||||||9638||895
516262|17906|0|0|2446|15466|5372|0|0|0||2605|0|0|7433||7484|||0||9777|5372||2609|2763|||||970||||
517271|10678|136|1026|10735|876|0|52|0|59||779|0|37813|2438||18033||0|0|||0||0|||9169|10|1008|10605|220|||
517645|0|0|0|0|3152|0|0|0|0||0|0|0||||||0|||0|||||||||3152|||
518300|||3600||||||||||2874|875|0|0|0|||39540|0|||0||||||||389||450
518368|||0||||||||||16713|12937|0|2659|0|||6357|0|||2177||||||||4198||2625
518791|||540||||||||||12600|2704|0|0|0|||0|237|||0||||||||903||7227
520269|||0||||||||||0|0|0|0|0|||200|0|||0||||||||500||2346
521610|8168|0|0|1035|0|0|0|0|0||0|0|0||0|0|0|0|0|||0|||||8168|0|0|1035|0|||
521652|6625|151|35|3589|1773|2196|0|0|0||1322|0|7188|6145||17786|||0|||6419|-4223|2196|||1679|0|35|2118||||
522014|||5235||||||||||0|4931|0|0|0|||93887|1798|||774||||||||5603||0
522387|||67||||||||||0|4424|0|0|0|||0|0|||532||||||||4748||200
516139|||0||||||||||0|0|0|0|0|||238190|0|||||||||||0||0
524259|||0||||||||||0|0|0|0|0|||0|0|||||||||||5953||2878
524475|||0||||||||||7181|1200|0|0|0|||644|0|||0||||||||1054||0
525076|||100||||||||||0|2650|0|0|0|||1513|6120|||0||||||||3247||2313
525397|||450||||||||||53|42219|0|0|0|||22410|20490|||20515||||||||61726||0
525703|||580||||||||||0|12396|0|0|0|||0|2130|||0||||||||5637||3938
518788|||100||||||||||20222|11328|0|0|0|||0|0|||||||||||1504||819
525935|||0||||||||||5582|29570|0|36819|0|||18984|9357|||11857||||||||15707||2725
525967|201105|977|7005|157712|1024689|159102|0|0|0||58671|0|56857|346187|107378|392471|0|0|0||139363|158517|585|128654|30448|339416|0|977|7005|71103|0|||
526338|34301|62156|12261|21550|142772|0|0|0|0||4317|0|7431|29144|380|0|0|0|0||21394|0|||||4068|53487|5937|15780|62656|||
